City,Country,Lat,Lng,Cloudiness (%),Humidity (%),Max Temp (°F),Wind Speed (mph),Date
Cape Town,ZA,-33.9258,18.4232,75,92,54.12,5.75,1627592127
Salinópolis,BR,-0.6136,-47.3561,17,81,80.49,9.42,1627592613
George Town,MY,5.4112,100.3354,20,89,80.53,1.99,1627592390
Kedrovyy,RU,56.1667,91.8167,63,61,45.01,3.09,1627592615
Hithadhoo,MV,-0.6,73.0833,100,71,82.49,6.17,1627592616
Malgrat de Mar,ES,41.6466,2.7414,0,93,81.57,5.01,1627592617
Massakory,TD,12.996,15.7293,80,76,79.18,6.78,1627592618
Ribeira Grande,PT,38.5167,-28.7,6,84,71.33,11.5,1627592619
Hong Kong,HK,22.2855,114.1577,99,91,84.18,1.01,1627592526
Rawson,AR,-43.3002,-65.1023,35,40,59.09,17.47,1627592461
East London,ZA,-33.0153,27.9116,0,71,59.86,12.62,1627592622
Hermanus,ZA,-34.4187,19.2345,16,84,53.91,6.8,1627592220
Caravelas,BR,-17.7125,-39.2481,100,79,70.38,15.57,1627592624
Ilulissat,GL,69.2167,-51.1,61,71,51.82,3.44,1627592625
Kathmandu,NP,27.7167,85.3167,75,100,70.02,0.0,1627592519
Saldanha,ZA,-33.0117,17.9442,0,88,53.01,6.71,1627592626
Kyabé,TD,9.4515,18.9449,93,95,72.91,2.93,1627592627
Ponta Delgada,PT,37.7333,-25.6667,20,78,72.32,8.05,1627592218
Streator,US,41.1209,-88.8354,52,81,90.0,1.99,1627592630
Grindavik,IS,63.8424,-22.4338,0,77,63.07,5.75,1627592631
Bilma,NE,18.6853,12.9164,6,20,99.23,7.14,1627592632
Klaksvík,FO,62.2266,-6.589,100,95,52.72,13.13,1627592633
Port Alfred,ZA,-33.5906,26.891,1,84,57.45,10.78,1627592242
Gopālpur,IN,19.2667,84.9167,100,79,79.68,10.69,1627592634
San Onofre,CO,9.7359,-75.5263,76,81,84.13,9.95,1627592635
Nanortalik,GL,60.1432,-45.2371,87,80,47.64,15.97,1627592636
Jamestown,US,42.097,-79.2353,75,73,79.09,11.5,1627592394
Hamilton,US,39.1834,-84.5333,36,67,90.84,3.0,1627592456
Saint-Philippe,RE,-21.3585,55.7679,86,84,69.39,16.8,1627592638
Altamira,BR,-3.2033,-52.2064,92,73,80.98,3.74,1627592639
Cabedelo,BR,-6.9811,-34.8339,9,79,77.02,13.42,1627592468
Marzuq,YE,14.4,46.4667,96,66,78.19,6.55,1627592641
Roald,NO,62.5833,6.1333,20,94,67.15,17.27,1627592641
Corning,US,42.1428,-77.0547,90,83,76.98,9.22,1627592642
Bubaque,GW,11.2833,-15.8333,100,87,76.84,10.85,1627592224
Punta Arenas,CL,-53.15,-70.9167,0,65,44.71,17.27,1627592226
Paita,PE,-5.0892,-81.1144,7,74,70.63,14.99,1627592644
